conference,year,author,title,booktitle,bibtex,electronic_edition
CVPR,2021,Yehansen Chen and Lin Wan and Zhihang Li and Qianyan Jing and Zongyuan Sun,Neural Feature Search for RGB-Infrared Person Re-Identification,"{IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR} 2021, virtual, June 19-25, 2021",https://dblp.org/rec/conf/cvpr/ChenWLJS21.bib,https://openaccess.thecvf.com/content/CVPR2021/html/Chen_Neural_Feature_Search_for_RGB-Infrared_Person_Re-Identification_CVPR_2021_paper.html
CVPR,2021,Anguo Zhang and Yueming Gao and Yuzhen Niu and Wenxi Liu and Yongcheng Zhou,Coarse-To-Fine Person Re-Identification With Auxiliary-Domain Classification and Second-Order Information Bottleneck,"{IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR} 2021, virtual, June 19-25, 2021",https://dblp.org/rec/conf/cvpr/ZhangGNLZ21.bib,https://openaccess.thecvf.com/content/CVPR2021/html/Zhang_Coarse-To-Fine_Person_Re-Identification_With_Auxiliary-Domain_Classification_and_Second-Order_Information_Bottleneck_CVPR_2021_paper.html
CVPR,2021,Xudong Tian and Zhizhong Zhang and Shaohui Lin and Yanyun Qu and Yuan Xie and Lizhuang Ma,Farewell to Mutual Information: Variational Distillation for Cross-Modal Person Re-Identification,"{IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR} 2021, virtual, June 19-25, 2021",https://dblp.org/rec/conf/cvpr/TianZLQ0M21.bib,https://openaccess.thecvf.com/content/CVPR2021/html/Tian_Farewell_to_Mutual_Information_Variational_Distillation_for_Cross-Modal_Person_Re-Identification_CVPR_2021_paper.html
CVPR,2021,Hao Chen and Yaohui Wang and Benoit Lagadec and Antitza Dantcheva and Fran{c{c}}ois Br{'{e}}mond,Joint Generative and Contrastive Learning for Unsupervised Person Re-Identification,"{IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR} 2021, virtual, June 19-25, 2021",https://dblp.org/rec/conf/cvpr/ChenWLDB21.bib,https://openaccess.thecvf.com/content/CVPR2021/html/Chen_Joint_Generative_and_Contrastive_Learning_for_Unsupervised_Person_Re-Identification_CVPR_2021_paper.html
CVPR,2021,Ruibing Hou and Hong Chang and Bingpeng Ma and Rui Huang and Shiguang Shan,BiCnet-TKS: Learning Efficient Spatial-Temporal Representation for Video Person Re-Identification,"{IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR} 2021, virtual, June 19-25, 2021",https://dblp.org/rec/conf/cvpr/HouCM0S21.bib,https://openaccess.thecvf.com/content/CVPR2021/html/Hou_BiCnet-TKS_Learning_Efficient_Spatial-Temporal_Representation_for_Video_Person_Re-Identification_CVPR_2021_paper.html
CVPR,2021,Yan Bai and Jile Jiao and Ce Wang and Jun Liu and Yihang Lou and Xuetao Feng and Ling{-}Yu Duan,Person30K: {A} Dual-Meta Generalization Network for Person Re-Identification,"{IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR} 2021, virtual, June 19-25, 2021",https://dblp.org/rec/conf/cvpr/BaiJW0LFD21.bib,https://openaccess.thecvf.com/content/CVPR2021/html/Bai_Person30K_A_Dual-Meta_Generalization_Network_for_Person_Re-Identification_CVPR_2021_paper.html
CVPR,2021,Yulin Li and Jianfeng He and Tianzhu Zhang and Xiang Liu and Yongdong Zhang and Feng Wu,Diverse Part Discovery: Occluded Person Re-Identification With Part-Aware Transformer,"{IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR} 2021, virtual, June 19-25, 2021",https://dblp.org/rec/conf/cvpr/LiHZL0021.bib,https://openaccess.thecvf.com/content/CVPR2021/html/Li_Diverse_Part_Discovery_Occluded_Person_Re-Identification_With_Part-Aware_Transformer_CVPR_2021_paper.html
CVPR,2021,Seokeon Choi and Taekyung Kim and Minki Jeong and Hyoungseob Park and Changick Kim,Meta Batch-Instance Normalization for Generalizable Person Re-Identification,"{IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR} 2021, virtual, June 19-25, 2021",https://dblp.org/rec/conf/cvpr/ChoiKJPK21.bib,https://openaccess.thecvf.com/content/CVPR2021/html/Choi_Meta_Batch-Instance_Normalization_for_Generalizable_Person_Re-Identification_CVPR_2021_paper.html
CVPR,2021,Qiong Wu and Pingyang Dai and Jie Chen and Chia{-}Wen Lin and Yongjian Wu and Feiyue Huang and Bineng Zhong and Rongrong Ji,Discover Cross-Modality Nuances for Visible-Infrared Person Re-Identification,"{IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR} 2021, virtual, June 19-25, 2021",https://dblp.org/rec/conf/cvpr/WuD0LWHZJ21.bib,https://openaccess.thecvf.com/content/CVPR2021/html/Wu_Discover_Cross-Modality_Nuances_for_Visible-Infrared_Person_Re-Identification_CVPR_2021_paper.html
CVPR,2021,Jiawei Liu and Zheng{-}Jun Zha and Wei Wu and Kecheng Zheng and Qibin Sun,Spatial-Temporal Correlation and Topology Learning for Person Re-Identification in Videos,"{IEEE} Conference on Computer Vision and Pattern Recognition, {CVPR} 2021, virtual, June 19-25, 2021",https://dblp.org/rec/conf/cvpr/LiuZWZS21.bib,https://openaccess.thecvf.com/content/CVPR2021/html/Liu_Spatial-Temporal_Correlation_and_Topology_Learning_for_Person_Re-Identification_in_Videos_CVPR_2021_paper.html
